method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
datamax,14.285714285714285,0.0,0.0,100.0,1.0,99.97657531057484
data_double_max,0.0,100.0,99.83337300642704,100.0,1.0,1.7568528652191162
data_hard_max,14.285714285714285,0.0,0.0,100.0,1.0,99.97657531057484
acs-trim_min-none,0.0,8.51063829787234,98.54166666666667,100.0,0.76,88.92012163996696
acs-trim_min-mode,14.285714285714285,0.0,0.0,99.99999999999999,0.14,99.97657531057484
acs-trim_min-mean,14.285714285714285,0.0,0.0,100.0,0.19,99.97657531057484
acs-truncate_min-none,0.0,11.702127659574469,98.96142433234422,100.0,0.92,84.37573164701462
acs-truncate_min-mode,0.0,6.914893617021277,97.67441860465115,100.0,0.43,93.11314150691032
acs-truncate_min-mean,14.285714285714285,0.0,0.0,100.0,0.37,99.97657531057484
acs-half_min-none,0.0,0.5319148936170213,12.5,100.0,0.67,99.97657531057484
acs-half_min-mode,14.285714285714285,0.0,0.0,96.83414895756519,0.32,99.97657531057484
acs-half_min-mean,14.285714285714285,0.0,0.0,98.41791244888384,0.46,99.97657531057484
acs-ruled_max_step-none,0.0,0.0,0.0,100.0,0.81,100.0
acs-ruled_max_step-mode,28.57142857142857,0.0,0.0,80.96299524032983,0.89,99.95315062114969
acs-ruled_max_step-mean,28.57142857142857,0.0,0.0,84.13219816316953,1.09,99.95315062114969
acs-max_step-none,0.0,0.0,0.0,100.0,0.94,100.0
acs-double_max_step-none,0.0,0.0,0.0,100.0,0.81,100.0
scs_symmin,14.285714285714285,0.0,0.0,98.41791244888383,0.76,99.97657531057484
scs_indep,14.285714285714285,0.0,0.0,95.25373734665146,1.55,99.97657531057484
lof,0.0,60.1063829787234,98.90795631825273,100.0,1.0,85.1487472653389
if,0.0,6.914893617021277,97.59450171821305,99.98994435878528,1.0,93.34738850593567
ocsvm,0.0,54.78723404255319,99.672131147541,95.9241134276329,1.0,50.152260065078735
dbscan,0.0,100.0,99.83602717263996,50.0,11.0,0.1639723777770996
dbscan_adaptive,100.0,0.0,0.0,50.0,1.55,99.83602716820315
dbscan_adaptive_elbow,14.285714285714285,0.0,0.0,96.83414895756519,1.55,99.97657531057484
kmeans,71.42857142857143,28.191489361702125,99.85905567300915,48.4547831333378,5.01,66.69009029865265
gmm,0.0,100.0,99.83602717263996,50.0,11.0,0.1639723777770996
kde,0.0,34.04255319148936,99.52153110047847,99.7720721324663,1.0,65.89365303516388
affprop,14.285714285714285,11.170212765957446,99.0625,97.62184085271836,0.88,85.12532263994217
