method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-trim_min-none,0.0,8.51063829787234,75.15527950310559,100.0,0.8,89.08926993608475
acs-trim_min-mode,0.0,8.51063829787234,72.97297297297297,99.78484565014031,0.15,90.26149660348892
acs-trim_min-mean,0.0,0.0,57.446808510638306,99.74275023386342,0.14,95.13074830174446
acs-truncate_min-none,0.0,8.51063829787234,74.35897435897436,99.97895229186156,0.93,89.54012617468834
acs-truncate_min-mode,0.0,8.51063829787234,72.97297297297297,100.0,0.49,90.26149660348892
acs-truncate_min-mean,0.0,4.25531914893617,58.76288659793815,100.0,0.46,94.8602344840765
acs-half_min-none,0.0,8.51063829787234,74.52229299363057,100.0,0.72,89.44995477795601
acs-half_min-mode,0.0,0.0,57.446808510638306,99.2422825070159,0.1,95.13074830174446
acs-half_min-mean,0.0,0.0,57.446808510638306,99.466791393826,0.12,95.13074830174446
acs-ruled_max_step-none,0.0,10.638297872340425,77.40112994350282,97.19363891487372,0.66,87.64652833342552
acs-ruled_max_step-mode,0.0,8.51063829787234,72.97297297297297,100.0,0.31,90.26149660348892
acs-ruled_max_step-mean,0.0,0.0,57.446808510638306,100.0,0.32,95.13074830174446
acs-max_step-none,0.0,10.638297872340425,77.40112994350282,96.57156220767071,0.66,87.64652833342552
acs-double_max_step-none,0.0,10.638297872340425,77.40112994350282,97.19363891487372,0.66,87.64652833342552
scs_symmin,0.0,0.0,57.446808510638306,98.58746492048644,0.23,95.13074830174446
scs_indep,5.0,4.25531914893617,66.3716814159292,97.75023386342376,0.44,93.05680766701698
lof,67.5,63.829787234042556,92.21556886227546,44.25397567820393,1.0,83.67899060249329
if,0.0,8.51063829787234,68.50393700787401,99.13470533208606,1.0,92.15509444475174
ocsvm,0.0,51.06382978723404,92.7797833935018,97.75257249766138,1.0,53.65193784236908
dbscan,0.0,100.0,96.39314697926059,50.0,11.0,3.606855869293213
dbscan_adaptive,100.0,0.0,0.0,50.0,2.51,96.39314711093903
dbscan_adaptive_elbow,12.5,0.0,47.76119402985074,90.07600561272217,2.51,96.66366092860699
kmeans,0.0,57.446808510638306,93.4959349593496,89.28905519176801,2.46,48.15148711204529
gmm,0.0,100.0,96.39314697926059,50.0,11.0,3.606855869293213
kde,0.0,8.51063829787234,74.35897435897436,98.67633302151543,1.0,89.54012617468834
affprop,0.0,8.51063829787234,72.97297297297297,99.7708138447147,0.58,90.26149660348892
